Ticker,DataCom,DataCompra,DataVenda,DY,PrecoCompra,PrecoVenda,RetornoPreco(%),RetornoDividendo(%),Retorno(%)
SANB11,2025-07-17,2025-07-15,2025-07-21,1.9,27.32,26.34,-3.59,1.9,-1.69
SANB11,2025-10-21,2025-10-17,2025-10-23,1.84,28.11,28.57,1.64,1.84,3.48
